Package,Built
assertthat,3.4.2
backports,3.4.3
base64enc,3.4.1
BH,3.4.1
bindr,3.4.2
bindrcpp,3.4.2
bitops,3.4.1
brew,3.4.1
broom,3.4.3
callr,3.4.2
car,3.4.3
caTools,3.4.2
cellranger,3.4.2
chron,3.4.3
cli,3.4.2
clipr,3.4.2
clisymbols,3.4.3
colorspace,3.4.2
commonmark,3.4.3
compare,3.4.1
covr,3.4.3
crayon,3.4.2
curl,3.4.3
data.table,3.4.3
datapasta,3.4.2
DBI,3.4.2
dbplyr,3.4.3
desc,3.4.3
devtools,3.4.2
dichromat,3.4.1
digest,3.4.3
dplyr,3.4.2
enc,3.4.3
evaluate,3.4.2
forcats,3.4.2
fs,3.4.3
gdata,3.4.3
gender,3.4.3
ggplot2,3.4.2
ggthemes,3.4.3
gh,3.4.3
git2r,3.4.3
glue,3.4.2
grayskull,3.4.3
gridExtra,3.4.3
gtable,3.4.2
gtools,3.4.1
haven,3.4.3
here,3.4.3
highlite,3.4.3
highr,3.4.2
hms,3.4.3
htmltools,3.4.2
httpuv,3.4.2
httr,3.4.2
igraph,3.4.3
ini,3.4.3
installr,3.4.3
irlba,3.4.3
jsonlite,3.4.2
knitr,3.4.3
labeling,3.4.1
lazyeval,3.4.2
lme4,3.4.3
lookup,3.4.3
lubridate,3.4.2
magrittr,3.4.2
markdown,3.4.2
MASS,3.4.3
MatrixModels,3.4.3
memoise,3.4.3
mime,3.4.1
minqa,3.4.3
mnormt,3.4.1
modelr,3.4.2
munsell,3.4.2
nloptr,3.4.3
NLP,3.4.1
openNLP,3.4.3
openNLPdata,3.4.3
openssl,3.4.3
pastecs,3.4.2
pbkrtest,3.4.3
pillar,3.4.3
pkgconfig,3.4.2
plogr,3.4.2
plotrix,3.4.3
plyr,3.4.2
psych,3.4.2
purrr,3.4.2
qdap,3.4.3
qdapDictionaries,3.4.1
qdapRegex,3.4.3
qdapTools,3.4.3
quantreg,3.4.3
R6,3.4.2
RColorBrewer,3.4.1
Rcpp,3.4.3
RcppEigen,3.4.3
RCurl,3.4.3
readr,3.4.2
readxl,3.4.2
rebus,3.4.2
rebus.base,3.4.2
rebus.datetimes,3.4.2
rebus.numbers,3.4.2
rebus.unicode,3.4.2
rematch,3.4.2
rematch2,3.4.3
reports,3.4.3
reprex,3.4.2
reshape2,3.4.3
rex,3.4.3
rJava,3.4.3
rlang,3.4.3
rmarkdown,3.4.3
roxygen2,3.4.3
rprojroot,3.4.3
rstudioapi,3.4.2
rvest,3.4.2
scales,3.4.2
selectr,3.4.2
shiny,3.4.2
slam,3.4.3
sourcetools,3.4.2
SparseM,3.4.1
stringdist,3.4.3
stringi,3.4.2
stringr,3.4.2
styler,3.4.3
tibble,3.4.3
tidyr,3.4.2
tidyselect,3.4.2
tidyverse,3.4.3
tm,3.4.3
usethis,3.4.3
utf8,3.4.3
venneuler,3.4.3
viridisLite,3.4.2
wesanderson,3.4.2
whisker,3.4.2
withr,3.4.3
wordcloud,3.4.3
xlsx,3.4.3
xlsxjars,3.4.3
XML,3.4.3
xml2,3.4.2
xtable,3.4.2
yaml,3.4.3
