Package,LibPath,Version,Priority,Built
assertthat,C:/Users/chayajo/Documents/R/win-library/3.4,0.2.0,NA,3.4.2
backports,C:/Users/chayajo/Documents/R/win-library/3.4,1.1.2,NA,3.4.3
base64enc,C:/Users/chayajo/Documents/R/win-library/3.4,0.1-3,NA,3.4.1
BH,C:/Users/chayajo/Documents/R/win-library/3.4,1.65.0-1,NA,3.4.1
bindr,C:/Users/chayajo/Documents/R/win-library/3.4,0.1,NA,3.4.2
bindrcpp,C:/Users/chayajo/Documents/R/win-library/3.4,0.2,NA,3.4.2
bitops,C:/Users/chayajo/Documents/R/win-library/3.4,1.0-6,NA,3.4.1
brew,C:/Users/chayajo/Documents/R/win-library/3.4,1.0-6,NA,3.4.1
broom,C:/Users/chayajo/Documents/R/win-library/3.4,0.4.3,NA,3.4.3
callr,C:/Users/chayajo/Documents/R/win-library/3.4,1.0.0,NA,3.4.2
car,C:/Users/chayajo/Documents/R/win-library/3.4,2.1-6,NA,3.4.3
caTools,C:/Users/chayajo/Documents/R/win-library/3.4,1.17.1,NA,3.4.2
cellranger,C:/Users/chayajo/Documents/R/win-library/3.4,1.1.0,NA,3.4.2
chron,C:/Users/chayajo/Documents/R/win-library/3.4,2.3-52,NA,3.4.3
cli,C:/Users/chayajo/Documents/R/win-library/3.4,1.0.0,NA,3.4.2
clipr,C:/Users/chayajo/Documents/R/win-library/3.4,0.4.0,NA,3.4.2
clisymbols,C:/Users/chayajo/Documents/R/win-library/3.4,1.2.0,NA,3.4.3
colorspace,C:/Users/chayajo/Documents/R/win-library/3.4,1.3-2,NA,3.4.2
commonmark,C:/Users/chayajo/Documents/R/win-library/3.4,1.4,NA,3.4.3
compare,C:/Users/chayajo/Documents/R/win-library/3.4,0.2-6,NA,3.4.1
covr,C:/Users/chayajo/Documents/R/win-library/3.4,3.0.1,NA,3.4.3
crayon,C:/Users/chayajo/Documents/R/win-library/3.4,1.3.4,NA,3.4.2
curl,C:/Users/chayajo/Documents/R/win-library/3.4,3.1,NA,3.4.3
data.table,C:/Users/chayajo/Documents/R/win-library/3.4,1.10.4-3,NA,3.4.3
datapasta,C:/Users/chayajo/Documents/R/win-library/3.4,2.0.0,NA,3.4.2
DBI,C:/Users/chayajo/Documents/R/win-library/3.4,0.7,NA,3.4.2
dbplyr,C:/Users/chayajo/Documents/R/win-library/3.4,1.2.0,NA,3.4.3
desc,C:/Users/chayajo/Documents/R/win-library/3.4,1.1.1,NA,3.4.3
devtools,C:/Users/chayajo/Documents/R/win-library/3.4,1.13.4,NA,3.4.2
dichromat,C:/Users/chayajo/Documents/R/win-library/3.4,2.0-0,NA,3.4.1
digest,C:/Users/chayajo/Documents/R/win-library/3.4,0.6.14,NA,3.4.3
dplyr,C:/Users/chayajo/Documents/R/win-library/3.4,0.7.4,NA,3.4.2
enc,C:/Users/chayajo/Documents/R/win-library/3.4,0.1,NA,3.4.3
evaluate,C:/Users/chayajo/Documents/R/win-library/3.4,0.10.1,NA,3.4.2
forcats,C:/Users/chayajo/Documents/R/win-library/3.4,0.2.0,NA,3.4.2
fs,C:/Users/chayajo/Documents/R/win-library/3.4,1.0.0,NA,3.4.3
gdata,C:/Users/chayajo/Documents/R/win-library/3.4,2.18.0,NA,3.4.3
gender,C:/Users/chayajo/Documents/R/win-library/3.4,0.5.1,NA,3.4.3
ggplot2,C:/Users/chayajo/Documents/R/win-library/3.4,2.2.1,NA,3.4.2
ggthemes,C:/Users/chayajo/Documents/R/win-library/3.4,3.4.0,NA,3.4.3
gh,C:/Users/chayajo/Documents/R/win-library/3.4,1.0.1,NA,3.4.3
git2r,C:/Users/chayajo/Documents/R/win-library/3.4,0.21.0,NA,3.4.3
glue,C:/Users/chayajo/Documents/R/win-library/3.4,1.2.0,NA,3.4.2
grayskull,C:/Users/chayajo/Documents/R/win-library/3.4,0.1.0,NA,3.4.3
gridExtra,C:/Users/chayajo/Documents/R/win-library/3.4,2.3,NA,3.4.3
gtable,C:/Users/chayajo/Documents/R/win-library/3.4,0.2.0,NA,3.4.2
gtools,C:/Users/chayajo/Documents/R/win-library/3.4,3.5.0,NA,3.4.1
haven,C:/Users/chayajo/Documents/R/win-library/3.4,1.1.1,NA,3.4.3
here,C:/Users/chayajo/Documents/R/win-library/3.4,0.1,NA,3.4.3
highlite,C:/Users/chayajo/Documents/R/win-library/3.4,0.0.0.9000,NA,3.4.3
highr,C:/Users/chayajo/Documents/R/win-library/3.4,0.6,NA,3.4.2
hms,C:/Users/chayajo/Documents/R/win-library/3.4,0.4.0,NA,3.4.3
htmltools,C:/Users/chayajo/Documents/R/win-library/3.4,0.3.6,NA,3.4.2
httpuv,C:/Users/chayajo/Documents/R/win-library/3.4,1.3.5,NA,3.4.2
httr,C:/Users/chayajo/Documents/R/win-library/3.4,1.3.1,NA,3.4.2
igraph,C:/Users/chayajo/Documents/R/win-library/3.4,1.1.2,NA,3.4.3
ini,C:/Users/chayajo/Documents/R/win-library/3.4,0.3.0,NA,3.4.3
installr,C:/Users/chayajo/Documents/R/win-library/3.4,0.19.0,NA,3.4.3
irlba,C:/Users/chayajo/Documents/R/win-library/3.4,2.3.2,NA,3.4.3
jsonlite,C:/Users/chayajo/Documents/R/win-library/3.4,1.5,NA,3.4.2
knitr,C:/Users/chayajo/Documents/R/win-library/3.4,1.18,NA,3.4.3
labeling,C:/Users/chayajo/Documents/R/win-library/3.4,0.3,NA,3.4.1
lazyeval,C:/Users/chayajo/Documents/R/win-library/3.4,0.2.1,NA,3.4.2
lme4,C:/Users/chayajo/Documents/R/win-library/3.4,1.1-15,NA,3.4.3
lookup,C:/Users/chayajo/Documents/R/win-library/3.4,0.0.0.9000,NA,3.4.3
lubridate,C:/Users/chayajo/Documents/R/win-library/3.4,1.7.1,NA,3.4.2
magrittr,C:/Users/chayajo/Documents/R/win-library/3.4,1.5,NA,3.4.2
markdown,C:/Users/chayajo/Documents/R/win-library/3.4,0.8,NA,3.4.2
MASS,C:/Users/chayajo/Documents/R/win-library/3.4,7.3-48,recommended,3.4.3
MatrixModels,C:/Users/chayajo/Documents/R/win-library/3.4,0.4-1,NA,3.4.3
memoise,C:/Users/chayajo/Documents/R/win-library/3.4,1.1.0,NA,3.4.3
mime,C:/Users/chayajo/Documents/R/win-library/3.4,0.5,NA,3.4.1
minqa,C:/Users/chayajo/Documents/R/win-library/3.4,1.2.4,NA,3.4.3
mnormt,C:/Users/chayajo/Documents/R/win-library/3.4,1.5-5,NA,3.4.1
modelr,C:/Users/chayajo/Documents/R/win-library/3.4,0.1.1,NA,3.4.2
munsell,C:/Users/chayajo/Documents/R/win-library/3.4,0.4.3,NA,3.4.2
nloptr,C:/Users/chayajo/Documents/R/win-library/3.4,1.0.4,NA,3.4.3
NLP,C:/Users/chayajo/Documents/R/win-library/3.4,0.1-11,NA,3.4.1
openNLP,C:/Users/chayajo/Documents/R/win-library/3.4,0.2-6,NA,3.4.3
